sigle;credits;cours;travail;type;obligatoire
BCM113;1;T.P Biochimie generale;laboratoire;laboratoire;1
BIO109;1;Introduction a la programmation;final;ecrit;1
BIO500;2;Methode en ecologie computationelle;final;ecrit;1
BOT400;1;Projet en biologie vegetale;final;oral;1
ECL403;1;T.P Ecologie aquatique;rapport;ecrit;1
ECL404;3;Ecologie aquatique;final;ecrit;1
ECL406;1;Tendances evolutives des plantes;final;ecrit;1
ECL515;2;T.P Ecologie vegetale;terrain;oral;1
ECL516;3;Ecologie animale;final;ecrit;1
ECL527;2;T.P Ecologie animale;final;oral;1
MCB101;1;T.P Microbiologie;laboratoire;laboratoire;1
TSB303;2;Methoses analytiques en biologie;protocol;ecrit;1
ZOO105;1;T.P Formes et fonctions;laboratoire;oral;1
ZOO306;1;Taxonomie animale;arbre phylogénétique;ecrit;1
ECL616;3;Protjet integration;metanalyse;ecrit/oral;1
ECL308;3;Sols vivants;affiche;ecrit;1
ECL611;1;T.P Ecologie fonctionnelle;terrain;ecrit;1
ECL535;1;T.P Ecologie comportementale;laboratoire;ecrit;0
ECL603;1;T.P Conservation et gestion des ressources;rapport;ecrit;0
INS154;3;Entrepenariat en science biologique;final;oral;0
ECL608;3;Ecologie internationale;final;ecrit/oral;0
GMQ106;3;SIG et cartographie numerique;projet;ecrit/oral;0
ECL534;2;Ecologie comportementale;article vulgarisation;ecrit;0
GBI104;1;Ethique et biologie;final;ecrit;0
